psi_g_formula_version,ansatz,group,regime,n_seeds,H_G_mean,H_G_std,H_G_ci_lo,H_G_ci_hi,D_G_mean,D_G_std,D_G_ci_lo,D_G_ci_hi,D_inter_mean,D_inter_std,D_inter_ci_lo,D_inter_ci_hi,D_mult_mean,D_mult_std,D_mult_ci_lo,D_mult_ci_hi,M_G_mean,M_G_std,M_G_ci_lo,M_G_ci_hi,S_G_mean,S_G_std,S_G_ci_lo,S_G_ci_hi,defect_mean,defect_std,defect_ci_lo,defect_ci_hi,Psi_G_mean,Psi_G_std,Psi_G_ci_lo,Psi_G_ci_hi
v12_gated,U1_broken,S_n,A_confined,20,0.43344354427916115,0.02769782998106345,0.4210281284840125,0.4451079812688449,0.5430134892958705,0.0026485333823129814,0.5418810965597382,0.5440929919254401,0.08602697859174102,0.005297066764625973,0.08371311504429975,0.08827130976629505,1.0,0.0,1.0,1.0,0.14518241387784075,0.04087310666825869,0.12850048109447923,0.16236241124145143,0.7945914050925424,1.1390647892519134e-16,0.7945914050925424,0.7945914050925424,0.07664241743560866,1.4238309865648918e-17,0.07664241743560866,0.07664241743560866,0.3624754591663223,0.016031316562632188,0.35515077873120443,0.3688993232834564
v12_gated,U1_broken,S_n,B_multi,20,0.6940860285880829,0.018308248486307802,0.6861943370254521,0.7015846093505944,0.5786235708184181,0.002733044809226022,0.5774642897025282,0.5797904965585019,0.1572471416368361,0.005466089618452036,0.15482618685843663,0.15963094923638355,1.0,0.0,1.0,1.0,0.06715442280461903,0.02169562935246777,0.058751859138505357,0.0772510191073122,0.7945914050925424,1.1390647892519134e-16,0.7945914050925424,0.7945914050925424,0.07664241743560866,1.4238309865648918e-17,0.07664241743560866,0.07664241743560866,0.5101789578762905,0.01158987786433695,0.5051125938014055,0.5151661479622291
v12_gated,U1_broken,U(1),A_confined,20,0.43344354427916115,0.02769782998106345,0.42119380832886144,0.4450010856778407,0.5430134892958705,0.0026485333823129814,0.541908892983206,0.5441093879141835,0.08602697859174102,0.005297066764625973,0.08380773393427,0.08834549724677092,1.0,0.0,1.0,1.0,0.14518241387784075,0.04087310666825869,0.12690181541047574,0.16236135352688058,0.9720161725610508,2.278129578503827e-16,0.9720161725610508,0.9720161725610508,0.00946094540760679,1.7797887332061147e-18,0.00946094540760679,0.00946094540760679,0.4434128109215121,0.019610958369867437,0.4349395399648032,0.45154476207153843
v12_gated,U1_broken,U(1),B_multi,20,0.6940860285880829,0.018308248486307802,0.6864023868984018,0.7017401704077353,0.5786235708184181,0.002733044809226022,0.5774405814238758,0.579766174643572,0.1572471416368361,0.005466089618452036,0.15489285538842248,0.15952033080239322,1.0,0.0,1.0,1.0,0.06715442280461903,0.02169562935246777,0.0588592083886678,0.07744361688234783,0.9720161725610508,2.278129578503827e-16,0.9720161725610508,0.9720161725610508,0.00946094540760679,1.7797887332061147e-18,0.00946094540760679,0.00946094540760679,0.6240971079951991,0.014177788294640309,0.6180231844147682,0.6300291096276168
v12_gated,U1_equiv,SU(2),A_confined,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8537525485233151,0.0,0.8537525485233151,0.8537525485233151,0.05270462766946591,0.0,0.05270462766946591,0.05270462766946591,0.0,0.0,0.0,0.0
v12_gated,U1_equiv,SU(2),B_multi,20,0.7798128556633974,0.008209932594906419,0.7761405509771954,0.7830184412421891,0.6852310314054668,0.002216810982237191,0.6842266819502464,0.6861608398449978,0.3704620628109336,0.004433621964474398,0.36851314634622884,0.37229027984253205,1.0,0.0,1.0,1.0,0.03577414895797161,0.007898342504636518,0.03253018908461857,0.03920914744464217,0.8537525485233151,0.0,0.8537525485233151,0.8537525485233151,0.05270462766946591,0.0,0.05270462766946591,0.05270462766946591,0.6315504693323204,0.0052768811443706575,0.6292889485394745,0.6335751183905269
v12_gated,U1_equiv,S_n,A_confined,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788856520476523,1.1390647892519134e-16,0.788856520476523,0.788856520476523,0.07905694150419705,0.0,0.07905694150419705,0.07905694150419705,0.0,0.0,0.0,0.0
v12_gated,U1_equiv,S_n,B_multi,20,0.6348819291190606,1.0806117409607187e-16,0.6348819291190606,0.6348819291190607,0.5687897653277064,1.1390647892519134e-16,0.5687897653277064,0.5687897653277064,0.13757953065541306,1.4238309865648918e-17,0.13757953065541306,0.13757953065541306,1.0,0.0,1.0,1.0,2.9740873228938113e-05,2.103821261969022e-17,2.9740873228929283e-05,2.974087322894684e-05,0.788856520476523,1.1390647892519134e-16,0.788856520476523,0.788856520476523,0.07905694150419705,0.0,0.07905694150419705,0.07905694150419705,0.48257899370660284,7.641078898631252e-17,0.48257899370660284,0.48257899370660284
v12_gated,U1_equiv,U(1),A_confined,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v12_gated,U1_equiv,U(1),B_multi,20,0.6348819291190606,1.0806117409607187e-16,0.6348819291190606,0.6348819291190607,0.5687897653277064,1.1390647892519134e-16,0.5687897653277064,0.5687897653277064,0.13757953065541306,1.4238309865648918e-17,0.13757953065541306,0.13757953065541306,1.0,0.0,1.0,1.0,2.9740873228938113e-05,2.103821261969022e-17,2.974087322892952e-05,2.9740873228946837e-05,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6117449513063443,1.0806117409607187e-16,0.6117449513063443,0.6117449513063443
