psi_g_formula_version,w_H,w_D,w_M,gamma,kendall_tau_vs_convention,top_ansatz,score_HEA,score_SU2_equiv,score_Sn_equiv,score_U1_broken,score_U1_equiv
v12_gated,0.5499449321923372,0.1928462080566595,0.2572088597510033,3.0,1.0,Sn_equiv,0.7002557872249584,0.5002054118073505,0.7880382642245571,0.641366192230168,0.6221314493466172
v12_gated,0.24149359889316696,0.389228270002094,0.3692781311047391,3.0,1.0,Sn_equiv,0.6585275732678191,0.5271426648434338,0.7163801490664234,0.6142484861718499,0.6091500178572455
v12_gated,0.11063109259709977,0.6575269358083755,0.23184197159452458,3.0,0.8,Sn_equiv,0.6100327477655072,0.5639508250162123,0.6588173017177676,0.5903637219269826,0.5914201735535006
v12_gated,0.7975084652606925,0.02447658389488122,0.17801495084442623,3.0,1.0,Sn_equiv,0.7355368278341704,0.47711019211601313,0.8471300822928469,0.6638505531461828,0.6332608574590777
v12_gated,0.4610338306848508,0.3207412431762652,0.21822492613888378,3.0,1.0,Sn_equiv,0.6763613509049534,0.5177508851063192,0.7569154267976478,0.6287785856701833,0.6136793258298023
v12_gated,0.43880471595978493,0.3253837436370909,0.23581154040312421,3.0,1.0,Sn_equiv,0.6749371464075923,0.5183873628020051,0.7531476498869316,0.627460761862865,0.6133721608594966
v12_gated,0.023949673060532715,0.664783430727076,0.3112668962123914,3.0,0.8,Sn_equiv,0.6062846263257642,0.5649445535921129,0.6457176795697459,0.5859508427069884,0.5909390764058859
v12_gated,0.29853768875179426,0.3271138055159656,0.37434850573224004,3.0,1.0,Sn_equiv,0.6705385818693722,0.5186216979980147,0.7334201047352702,0.620989956603391,0.6132552014793503
v12_gated,0.2604358668262797,0.23269497982330048,0.5068691533504198,3.0,1.0,Sn_equiv,0.6851385435665545,0.5056664665699007,0.7419941194887119,0.6255826521869944,0.6194930437247067
v12_gated,0.4542622833622002,0.40865792311050175,0.13707979352729796,3.0,1.0,Sn_equiv,0.6615286749697153,0.5298130421915196,0.7430662906666412,0.6225879852569618,0.6078702543973631
v12_gated,0.08616777381895727,0.7192636776512488,0.194568548529794,3.0,0.8,Sn_equiv,0.5990394068337479,0.5724206719865741,0.6463560532376804,0.5851236542667017,0.5873405624943255
v12_gated,0.17841429010328955,0.16620371884535443,0.6553819910513561,3.0,1.0,Sn_equiv,0.6938027154290672,0.49654199054491016,0.7403700025897751,0.6263164470843531,0.6238847908250231
v12_gated,0.6355529485747957,0.16508599683328365,0.19936105459192052,3.0,1.0,Sn_equiv,0.7073854126444203,0.496398518675102,0.8039994769194416,0.6471026459601025,0.6239672740526331
v12_gated,0.4072458998151569,0.40454373424467294,0.18821036594017002,3.0,1.0,Sn_equiv,0.6608356697265468,0.5292475528777975,0.7371430210775255,0.6207331742534321,0.6081412045971997
v12_gated,0.37159775016919816,0.4692609273402977,0.15914132249050417,3.0,1.0,Sn_equiv,0.6490184393806907,0.5381260805692663,0.722691335780966,0.6147868939513873,0.6038644541510276
v12_gated,0.658676001562172,0.17417344302272986,0.1671505554150982,3.0,1.0,Sn_equiv,0.7065503864594352,0.4976458300609099,0.8058753577401933,0.6475420973742194,0.6233672732674437
v12_gated,0.3827730596724461,0.4151666343772416,0.20206030595031219,3.0,1.0,Sn_equiv,0.6583502402508802,0.5307045020901362,0.7321856265164185,0.618913457943389,0.6074388526279213
v12_gated,0.11988491900556433,0.6464357213017714,0.2336793596926643,3.0,0.8,Sn_equiv,0.6121501310630022,0.5624292933853635,0.6617305778828673,0.591525258399157,0.5921531812258589
v12_gated,0.7386686860356001,0.14419158045134514,0.11713973351305493,3.0,1.0,Sn_equiv,0.7138852586879564,0.4935340015745333,0.8213831948590494,0.653172823074409,0.6253497837407686
v12_gated,0.28628020908171103,0.4387837282281019,0.27493606269018694,3.0,1.0,Sn_equiv,0.6515912755765323,0.533942717876654,0.715321597819765,0.6129611266782319,0.6058765717569718
v12_gated,0.6978797318296639,0.26030777860879395,0.041812489561542196,3.0,1.0,Sn_equiv,0.6933617172919505,0.5094644405464769,0.7986707556603684,0.6435537632015762,0.6176768352780414
v12_gated,0.11035441484842091,0.5138953599487668,0.37575022520281226,3.0,0.8,Sn_equiv,0.6339329346183296,0.5442443463256875,0.6798686807989477,0.5999636985516014,0.6009103779233869
v12_gated,0.20971312064793904,0.6389604072507639,0.15132647210129707,3.0,1.0,Sn_equiv,0.6160268940053584,0.5614056105080252,0.6752992030442487,0.5960953520210359,0.5926487958890369
v12_gated,0.40299233447594224,0.27595433780117357,0.3210533277228841,3.0,1.0,Sn_equiv,0.6821154556114271,0.5116047983331606,0.7554336003449845,0.6291462770635564,0.6166374477155465
v12_gated,0.09333916371207468,0.28417060940785877,0.6224902268800665,3.0,0.8,Sn_equiv,0.6716732903055165,0.5127253900857709,0.7112374950663561,0.6145670744048106,0.6160887248324245
v12_gated,0.646762978809902,0.29184234190448977,0.06139467928560836,3.0,1.0,Sn_equiv,0.6866146108264994,0.5137899261252294,0.7869438274023255,0.6391273934443723,0.6155922780058238
v12_gated,0.43191051435065503,0.16128085346767712,0.40680863218166785,3.0,1.0,Sn_equiv,0.7020509708892105,0.4958720453193215,0.7762861619111056,0.6381309592753763,0.6242148471978732
v12_gated,0.6340849076466194,0.27696914415410107,0.08894594819927963,3.0,1.0,Sn_equiv,0.6887188030660231,0.511749026517108,0.7873675782678851,0.6395483787443326,0.6165747596061554
v12_gated,0.39627029294307636,0.29485400275012214,0.30887570430680145,3.0,1.0,Sn_equiv,0.6787725062520911,0.5141977160781068,0.7517252815845024,0.6275768682944448,0.6153885579013297
v12_gated,0.19749486678536232,0.37391448149641615,0.4285906517182214,3.0,1.0,Sn_equiv,0.6597872388423307,0.5250406384938018,0.712520291072783,0.6132799254448795,0.6101610193397973
v12_gated,0.5811237550524558,0.25544916920065147,0.16342707574689289,3.0,1.0,Sn_equiv,0.6907488761652709,0.5087953081314543,0.7831747220144929,0.6385891089488284,0.6179956549671621
v12_gated,0.2650098608098445,0.6636734325462419,0.07131670664391343,3.0,1.0,Sn_equiv,0.6135337648682769,0.5647974707875737,0.6793474692603442,0.5969467451349523,0.5910169693132565
v12_gated,0.08395517142330298,0.10420394568668205,0.8118408828900151,3.0,0.8,Sn_equiv,0.7013547659826644,0.4880334846996383,0.7363596634572421,0.6261861474739904,0.6279795357397803
